,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
63,"Vollmer, Lindsay",SR-4,Kansas,1.76m,"5' 9.25""",Rock Chalk Classic,2015-05-02,HJ,W
63,"Pickell, Grace",SO-2,Kansas,1.76m,"5' 9.25""",Big 12 Outdoor Track & Field Championships,2015-05-15,HJ,W
63,"Barber, Katie",SR-4,UC Davis,1.76m,"5' 9.25""",Cal Opener 2015,2015-03-07,HJ,W
63,"Williams, Jodi",JR-3,Utah State,1.76m,"5' 9.25""",Border Clash 2015,2015-05-01,HJ,W
63,"Boschee, Lexy",SO-2,North Dakota State,1.76m,"5' 9.25""",Lyle Hokanson Classic,2015-05-01,HJ,W
63,"Minter, Kinsey",JR-3,Nevada,1.76m,"5' 9.25""",Mountain West Outdoor Track & Field Championships,2015-05-13,HJ,W
63,"Trisler, Madalyn",SR-4,UL-Lafayette,1.76m,"5' 9.25""",Northwestern State Invitational,2015-04-25,HJ,W
63,"Kelly, Brittany",FR-1,Mississippi,1.76m,"5' 9.25""",SEC Championships,2015-05-14,HJ,W
63,"May, Darragh",FR-1,Arkansas State,1.76m,"5' 9.25""",2015 Clyde Littlefield Texas Relays,2015-03-25,HJ,W
63,"Herauf, Jess",JR-3,Minnesota,1.76m,"5' 9.25""",Big Ten Outdoor Track & Field Championships,2015-05-15,HJ,W
63,"Stephens, Makayla",FR-1,Oklahoma,1.76m,"5' 9.25""",Big 12 Outdoor Track & Field Championships,2015-05-15,HJ,W
63,"Appiah, Margaret",SO-2,BYU,1.76m,"5' 9.25""",2015 BYU Cougar Invitational,2015-05-13,HJ,W
63,"Tidman, Ellie",SR-4,Vanderbilt,1.76m,"5' 9.25""",Tiger Track Classic 2015,2015-04-03,HJ,W
63,"Siba, Rhizlane",FR-1,Kansas State,1.76m,"5' 9.25""",Big 12 Outdoor Track & Field Championships,2015-05-15,HJ,W
63,"Ramsay, Israel",JR-3,UTEP,1.76m,"5' 9.25""",Conference USA Outdoor Track & Field Championships,2015-05-14,HJ,W
63,"Spires, Shelley",FR-1,Air Force,1.76m,"5' 9.25""",Rock Chalk Classic,2015-05-02,HJ,W
63,"Gusin, Tatiana",SO-2,Georgia,1.76m,"5' 9.25""",Georgia Invitational,2015-05-09,HJ,W
63,"McEaddy, Shakayla",SR-4,Arizona,1.76m,"5' 9.25""",Duel in the Desert- ASU vs ARIZONA,2015-05-01,HJ,W
91,"Lomax, Rebecca",SR-4,Ball State,1.75m,"5' 8.75""",Louisville Twilight,2015-05-08,HJ,W
91,"Whitehorn, Kaitlin",JR-3,Dartmouth,1.75m,"5' 8.75""",Ivy League Outdoor Track & Field Championships,2015-05-09,HJ,W
91,"Sheppard, Diayja",FR-1,Houston,1.75m,"5' 8.75""",Mt. SAC Relays,2015-04-16,HJ,W
91,"Weiland, Bailey",FR-1,Georgia Tech,1.75m,"5' 8.75""",ACC Outdoor Track & Field Championships,2015-05-14,HJ,W
