,TEAM,TIME,ATHLETES,MEET,MEET DATE,EVENT,GENDER
1,LSU,42.05,"Brisco, Johnson, Misher, Hobbs",SEC Outdoor Track and Field Championships,2018-05-11,4x100,W
2,Kentucky,42.3,"Barnes, Camacho-Quinn, Clarke, Gray",SEC Outdoor Track and Field Championships,2018-05-11,4x100,W
3,USC,42.57,"Hill, Annelus, Ellis, Terry",Mt. SAC Relays,2018-04-19,4x100,W
4,LSU (B),42.65,"Brisco, Johnson, Hall, Hobbs",2018 Louisiana Classics,2018-03-16,4x100,W
5,Oregon,42.7,"Johnson, Williams, Reed, Washington",2018 Desert Heat Classic,2018-04-28,4x100,W
6,Kentucky (B),42.84,"McLaughlin, Camacho-Quinn, Clarke, Gray",National Relay Championships,2018-04-27,4x100,W
7,Oregon (B),42.93,"Anderson, Williams, Waller, D'Arpino",Mt. SAC Relays,2018-04-19,4x100,W
8,USC (B),43.18,"Hall, Westbrook, Hill, Terry",USC Power 5 Challenge,2018-03-23,4x100,W
9,Texas A&M,43.26,"Ivy, Madubuike, Spaulding, Thompson",Rafer Johnson & Jackie Joyner-Kersee Invitational,2018-04-14,4x100,W
9,Alabama,43.26,"Lampkin, Clark, Darius, Roberson",UF Tom Jones Memorial,2018-04-13,4x100,W
9,Arkansas,43.26,"Parker, Baylark, Brown, Brooks",SEC Outdoor Track and Field Championships,2018-05-11,4x100,W
12,Alabama (B),43.27,"Lampkin, Clark, Darius, Washington",SEC Outdoor Track and Field Championships,2018-05-11,4x100,W
13,Auburn,43.28,"Shaw, Smith, Bullock, Whyte",SEC Outdoor Track and Field Championships,2018-05-11,4x100,W
14,Tennessee,43.3,"Duncan, Collins, Dyer, McCoy",SEC Outdoor Track and Field Championships,2018-05-11,4x100,W
14,Oregon (C),43.3,"Dunmore, D'Arpino, DesRosiers, Anderson",2018 Desert Heat Classic,2018-04-28,4x100,W
16,Arkansas (B),43.38,"Brown, Parker, Baylark, Burks Magee",National Relay Championships,2018-04-27,4x100,W
17,San Diego St.,43.46,"Smith, Glenn, Harris, Henderson",2018 Desert Heat Classic,2018-04-28,4x100,W
18,Miami,43.48,"Knott, Steele, Mason, McMinn",ACC Outdoor Championships,2018-05-10,4x100,W
19,USC (C),43.49,"Annelus, Westbrook, Hill, Terry",USC Trojan Invitational,2018-03-16,4x100,W
20,Tennessee (B),43.59,"Duncan, Collins, Majors, McCoy",National Relay Championships,2018-04-27,4x100,W
21,Auburn (B),43.65,"Ambrose, Smith, Bullock, Whyte",Tiger Track Classic 2018,2018-04-13,4x100,W
22,Tennessee (C),43.74,"McCoy, Dyer, Collins, Majors",Tennessee Relays,2018-04-12,4x100,W
23,LSU (C),43.77,"Marshall, Hall, Denoon, Yon",Miami Hurricane Collegiate Invitational,2018-04-14,4x100,W
24,Baylor,43.9,"Horton, Bennett, Mainoo, Grant",Big 12 Conference Outdoor Track and Field Championships,2018-05-11,4x100,W
24,Georgia,43.9,"Hall, Irby, Grauvogel, Davis",Mt. SAC Relays,2018-04-19,4x100,W
26,Tennessee (D),43.91,"Collins, Majors, Duncan, Dyer",Tennessee Challenge,2018-05-05,4x100,W
27,Oregon (D),43.92,"Reed, Washington, Anderson, Williams",Oregon Pepsi Invitational,2018-04-07,4x100,W
28,Purdue,43.94,"Bracey, Roberson, Love, Charlton",Big Ten Championships,2018-05-11,4x100,W
28,LSU (D),43.94,"Marshall, Misher, Denoon, Yon",Pac-12+ vs Big Ten Invitational,2018-03-23,4x100,W
30,Tennessee (E),43.96,"Collins, Cantrell, Dyer, Majors",Florida Relays,2018-03-29,4x100,W
31,Georgia (B),44.02,"Hall, Irby, Ransby, Davis",Torrin Lawrence Memorial,2018-05-05,4x100,W
32,Ole Miss,44.1,"Henderson, Holmes, Carbo, Ray",USC Power 5 Challenge,2018-03-23,4x100,W
33,Texas,44.12,"Burton, Golden, Douglas, Daniels",National Relay Championships,2018-04-27,4x100,W
34,Oregon (E),44.16,"D'Arpino, Dunmore, DesRosiers, Waller",Oregon Pepsi Invitational,2018-04-07,4x100,W
34,Florida State,44.16,"Kirkland, Helps, Cunningham, Seymour",FSU Relays,2018-03-23,4x100,W
36,Florida State (B),44.19,"Jones, Helps, Kirkland, Seymour",ACC Outdoor Championships,2018-05-10,4x100,W
37,Minnesota,44.22,"Schow, Markland, Spagnola, Egwim",Big Ten Championships,2018-05-11,4x100,W
37,Texas A&M (B),44.22,"Ivy, Owens, Thompson, Madubuike",SEC Outdoor Track and Field Championships,2018-05-11,4x100,W
39,Texas Tech,44.23,"Limp, Harris, Johnson, Gordon",39th Sun Angel Classic,2018-04-05,4x100,W
39,San Diego St. (B),44.23,"Smith, Glenn, Fletcher, Henderson",Mountain West Outdoor Track & Field Championships,2018-05-09,4x100,W
41,North Carolina,44.29,"Duncan, Sherman, Keefer, Dunston",Miami Hurricane Collegiate Invitational,2018-04-14,4x100,W
42,Kansas State,44.33,"Guerrier, Mitchell, McKenzie, Allen",Big 12 Conference Outdoor Track and Field Championships,2018-05-11,4x100,W
42,Oklahoma,44.33,"Van Buren, Patterson, Giles, Buchanan",2018 TCU Invitational,2018-03-16,4x100,W
44,Clemson,44.37,"Robinson, Smith, Williams, Thomas",ACC Outdoor Championships,2018-05-10,4x100,W
45,N. Carolina A&T,44.38,"Ray, Brown, Beasley, White",MEAC Outdoor Track & Field Championships,2018-05-03,4x100,W
46,Purdue (B),44.39,"Charlton, Roberson, Love, Carson",LSU Battle on the Bayou,2018-04-07,4x100,W
47,Florida State (C),44.42,"Kirkland, Caldwell, Helps, Seymour",National Relay Championships,2018-04-27,4x100,W
48,Iowa,44.44,"Thomas, Avant, Guillory, Brown",Florida Relays,2018-03-29,4x100,W
48,Kansas State (B),44.44,"Njadoe, Mitchell, McKenzie, Allen",2018 Jim Click Shootout,2018-04-07,4x100,W
50,Houston,44.46,"Henderson, Bethel, Samuels, Sample",The American Outdoor Track & Field Championships,2018-05-11,4x100,W
51,Duke,44.47,"Murphy, Campbell, Panton, Price",Battle of the Blues,2018-04-06,4x100,W
52,South Carolina,44.49,"Dendy, Davis, Mills, Pennamon",SEC Outdoor Track and Field Championships,2018-05-11,4x100,W
53,Ole Miss (B),44.51,"Henderson, Carbo, Paul, Ray",SEC Outdoor Track and Field Championships,2018-05-11,4x100,W
53,USC (D),44.51,"Richardson, Ellis, Richards, Roberts",USC Trojan Invitational,2018-03-16,4x100,W
55,Iowa (B),44.52,"Champe, Guillory, Thomas, Brown",Big Ten Championships,2018-05-11,4x100,W
56,San Diego St. (C),44.54,"Fletcher, Barrow, Harris, Henderson",Mountain West Challenge,2018-04-06,4x100,W
57,UNLV,44.56,"Smith-Barnett, Hudspeth, Graham, Love",Mountain West Outdoor Track & Field Championships,2018-05-09,4x100,W
