,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
85,"Kalala, Albert",SO-2,Cincinnati,2.10m,"6' 10.75""",Oliver Nikoloff Invitational,2019-04-06,HJ,M
85,"Crittenden, Deante",JR-3,Prairie View,2.10m,"6' 10.75""",2019 SWAC Outdoor T&F Championships,2019-05-03,HJ,M
85,"Littlejohn, Rodney",JR-3,Incarnate Word,2.10m,"6' 10.75""",Baylor Invitational,2019-03-23,HJ,M
98,"Farley, Mason",FR-1,Texas A&M,2.09m,"6' 10.25""",Texas A&M Alumni Muster,2019-04-27,HJ,M
98,"Halligan, Keelan",SR-4,Washington St.,2.09m,"6' 10.25""",Cougar Invite,2019-04-27,HJ,M
98,"Seay, Jared",SR-4,Nebraska,2.09m,"6' 10.25""",Big Ten Championships,2019-05-10,HJ,M
1,"Shankar, Tejaswin",FR-1,Kansas State,2.29m,"7' 6""",Texas Tech Corky/Crofoot Shootout,2018-04-27,HJ,M
2,"Turner, Vernon",FR-1,Oklahoma,2.28m,"7' 5.75""",Big 12 Conference Outdoor Track and Field Championships,2018-05-11,HJ,M
3,"Laine, Keenon",JR-3,Georgia,2.26m,"7' 5""",Spec Towns Invitational,2018-04-06,HJ,M
3,"Wells, Jonathan",JR-3,Illinois,2.26m,"7' 5""",Big Ten Championships,2018-05-11,HJ,M
3,"Campbell, Matthew",SR-4,Albany,2.26m,"7' 5""",Florida Relays,2018-03-29,HJ,M
6,"McEwen, Shelby",SO-2,Alabama,2.25m,"7' 4.5""",War Eagle Invitational 2018,2018-04-20,HJ,M
6,"Brown, Clayton",SO-2,Florida,2.25m,"7' 4.5""",SEC Outdoor Track and Field Championships,2018-05-11,HJ,M
6,"Culver, Trey",SR-4,Texas Tech,2.25m,"7' 4.5""",Big 12 Conference Outdoor Track and Field Championships,2018-05-11,HJ,M
9,"Shoultz, Samuel",JR-3,Maryland,2.24m,"7' 4.25""","Virginia v. Maryland, Bucknell, Georgetown",2018-04-06,HJ,M
9,"Robinson, Damar",SR-4,Louisville,2.24m,"7' 4.25""",ACC Outdoor Championships,2018-05-10,HJ,M
11,"Blake, JuVaughn",FR-1,LSU,2.22m,"7' 3.25""",SEC Outdoor Track and Field Championships,2018-05-11,HJ,M
11,"O'Georgia, Bryant",JR-3,Arizona,2.22m,"7' 3.25""",40th Annual Aztec Invitational,2018-03-24,HJ,M
13,"Knight, Corion",SR-4,Florida State,2.21m,"7' 3""",ACC Outdoor Championships,2018-05-10,HJ,M
13,"Carbin, Darius",SO-2,Georgia,2.21m,"7' 3""",Spec Towns Invitational,2018-04-06,HJ,M
13,"Parker, Caleb",SO-2,Southern Miss.,2.21m,"7' 3""",Southern Miss Invitational,2018-03-30,HJ,M
13,"Allen, Jerin",SR-4,Louisville,2.21m,"7' 3""",ACC Outdoor Championships,2018-05-10,HJ,M
13,"Minor, Rahman",FR-1,Purdue,2.21m,"7' 3""",2018 Louisville Invitational,2018-04-13,HJ,M
18,"Milligan, Ben",JR-3,Oregon,2.20m,"7' 2.5""",OSU High Performance Meet,2018-04-27,HJ,M
18,"Sears, Earnie",FR-1,USC,2.20m,"7' 2.5""",2018 Pac-12 Track & Field Championships,2018-05-12,HJ,M
18,"Bartel, Landon",SR-4,Nebraska,2.20m,"7' 2.5""",Big Ten Championships,2018-05-11,HJ,M
21,"Victor, Jhonny",JR-3,Florida,2.19m,"7' 2.25""",SEC Outdoor Track and Field Championships,2018-05-11,HJ,M
21,"Milton, Jacob",SO-2,Norfolk State,2.19m,"7' 2.25""",Weems Baskin Relays,2018-03-23,HJ,M
21,"Sullivan, Darryl",SO-2,Tennessee,2.19m,"7' 2.25""",SEC Outdoor Track and Field Championships,2018-05-11,HJ,M
21,"Nytes, Trent",JR-3,Wisconsin,2.19m,"7' 2.25""",Bryan Clay Invitational,2018-04-19,HJ,M
25,"Foster, Brenton",SO-2,Manhattan,2.18m,"7' 1.75""",IC4A/ECAC DI Outdoor Track & Field Championships,2018-05-12,HJ,M
25,"Anderson, Zack",SO-2,South Dakota,2.18m,"7' 1.75""",Texas State Bobcat Invitational,2018-03-29,HJ,M
25,"Cuskelly, Landon",JR-3,Missouri,2.18m,"7' 1.75""",Tom Botts,2018-04-20,HJ,M
25,"Anderson, Ty",SR-4,UTSA,2.18m,"7' 1.75""",Texas Invitational,2018-04-13,HJ,M
25,"Murtagh, Jaime",SR-4,Indiana State,2.18m,"7' 1.75""",Gibson Invitational,2018-04-06,HJ,M
30,"Lockard, Ryan",SR-4,Minnesota,2.17m,"7' 1.5""",Big Ten Championships,2018-05-11,HJ,M
31,"Wesner, Jordan",JR-3,Memphis,2.16m,"7' 1""",Memphis Tiger Invitational,2018-04-27,HJ,M
31,"Gordon, Allen",FR-1,Ole Miss,2.16m,"7' 1""",Spec Towns Invitational,2018-04-06,HJ,M
31,"Ford, Jalen",SR-4,Iowa State,2.16m,"7' 1""",Florida Relays,2018-03-29,HJ,M
31,"Moore, Eric",SR-4,Central Arkansas,2.16m,"7' 1""",Southland Conference Outdoor Track & Field Championships,2018-05-04,HJ,M
31,"Giannettino, Jeff",JR-3,Army West Point,2.16m,"7' 1""",Patriot League Outdoor Track & Field Championships,2018-05-04,HJ,M
