,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
100,"Miller, Lamia",SR-4,South Alabama,57.68m,"189' 3""",Sun Belt Outdoor Track and Field Championships,2017-05-12,HT,W
1,"Pleger, Brooke",SR-4,Bowling Green,69.72m,"228' 9""",Mid-American Outdoor Track & Field Championships,2015-05-14,HT,W
2,"Ratcliffe, Julia",JR-3,Princeton,68.53m,"224' 10""",2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,HT,W
3,"Price, DeAnna",JR-3,Southern Illinois,67.72m,"222' 2""",Pacesetter Sports Invitational,2015-05-02,HT,W
4,"Savatovic, Sara",JR-3,Kansas State,66.41m,"217' 10""",Big 12 Outdoor Track & Field Championships,2015-05-15,HT,W
5,"Peoples, Kearsten",SR-4,Missouri,66.17m,"217' 1""",Tom Botts Invitational,2015-05-01,HT,W
6,"Levy, Daina",JR-3,Kansas,65.81m,"215' 11""",Kansas Relays,2015-04-15,HT,W
7,"Storm, Ida",SR-4,UCLA,65.54m,"215' 0""",Pac-12 Track & Field Championships,2015-05-15,HT,W
8,"Watt, Cynthia",JR-3,Michigan State,65.17m,"213' 10""",Virginia Challenge,2015-04-17,HT,W
9,"Ashe, Shelby",SO-2,Georgia,64.52m,"211' 8""",Florida Relays,2015-04-02,HT,W
10,"Weir, Jillian",SR-4,Oregon,64.41m,"211' 4""",Oregon Twilight,2015-05-08,HT,W
11,"Reedy, Julia",JR-3,Oklahoma,63.93m,"209' 9""",John Jacobs Invitational,2015-04-17,HT,W
11,"Cooks, Alexis",SR-4,Akron,63.93m,"209' 9""",Ashland Alumni Open,2015-04-24,HT,W
13,"Cooper, Marthaline",SO-2,Winthrop,63.85m,"209' 6""",Big South Championships,2015-05-14,HT,W
14,"Jenkins, Ashley",JR-3,Sam Houston St.,63.66m,"208' 10""",Victor Lopez Classic,2015-04-02,HT,W
15,"Famurewa, Beckie",JR-3,Kentucky,63.65m,"208' 10""",2015 Triton Invitational,2015-04-24,HT,W
16,"Andersen, Brooke",SO-2,Northern Arizona,63.30m,"207' 8""",36th Sun Angel Classic,2015-04-09,HT,W
17,"Hicks, Kiah",SR-4,Colorado St.,63.27m,"207' 7""",Colorado Invitational,2015-04-10,HT,W
18,"Williams, Jianna",SR-4,Illinois State,62.60m,"205' 4""",Redbird Track And Field Invitational,2015-05-01,HT,W
19,"Griffiths, Monique",JR-3,Cal St. Northridge,62.33m,"204' 6""",2015 Big West Championships,2015-05-15,HT,W
20,"Stanford, Devin",SR-4,Minnesota,61.82m,"202' 10""",Musco Invitational,2015-05-02,HT,W
21,"Leppelmeier, Jackie",JR-3,Kent State,61.47m,"201' 8""",Mid-American Outdoor Track & Field Championships,2015-05-14,HT,W
22,"Vangsnes, Katja",JR-3,Florida State,61.39m,"201' 5""",Florida State Relays,2015-03-27,HT,W
23,"Bingham, Maci",SR-4,Utah State,61.30m,"201' 1""",Mountain West Outdoor Track & Field Championships,2015-05-13,HT,W
24,"Williams, Jocelyn",SR-4,Liberty,61.21m,"200' 10""",Big South Championships,2015-05-14,HT,W
25,"Ogunleye, Precious",JR-3,Miami,61.17m,"200' 8""",Florida State Relays,2015-03-27,HT,W
26,"Barnes, Nia",SR-4,Alabama,61.14m,"200' 7""",John Jacobs Invitational,2015-04-17,HT,W
27,"Koeck, Kathryn",SR-4,Marquette,61.12m,"200' 6""",Marquette vs UW-Milwaukee Dual,2015-04-10,HT,W
28,"Smith, Annemie",SR-4,Iowa,60.99m,"200' 1""",Big Ten Outdoor Track & Field Championships,2015-05-15,HT,W
29,"McClinton, Nakel",SO-2,Indiana,60.81m,"199' 6""",2015 Billy Hayes Invitational,2015-05-02,HT,W
30,"Ozorai, Jenny",SR-4,USC,60.75m,"199' 4""",Trojan Invitational,2015-03-20,HT,W
31,"McConnell, Danielle",FR-1,Alabama,60.68m,"199' 1""",LSU Invitational,2015-05-02,HT,W
32,"Sharp, Tristen",JR-3,Nebraska,60.61m,"198' 10""",Big Ten Outdoor Track & Field Championships,2015-05-15,HT,W
33,"Ewen, Maggie",FR-1,Arizona State,60.54m,"198' 7""",Duel in the Desert- ASU vs ARIZONA,2015-05-01,HT,W
34,"Redon, Kaylee",SR-4,East Carolina,60.50m,"198' 6""",Bill Carson Invitational,2015-04-10,HT,W
34,"McFetters, Robyn",JR-3,Maine,60.50m,"198' 6""",2015 Penn Relays,2015-04-23,HT,W
36,"Byrd, Jessika",SR-4,Arizona State,60.46m,"198' 4""",Duel in the Desert- ASU vs ARIZONA,2015-05-01,HT,W
37,"Hampl, Elizabeth",SR-4,SIU-Edwardsville,60.44m,"198' 3""",Tom Botts Invitational,2015-05-01,HT,W
38,"Kaaja, Ilse",SO-2,Utah,60.33m,"197' 11""",OSU vs. Utah - Dual Meet,2015-03-21,HT,W
39,"Quillin, Adrienne",SR-4,Sam Houston St.,60.31m,"197' 10""",Southland Conference Championship,2015-05-08,HT,W
40,"Heilsnis, Brianna",SO-2,Auburn,60.26m,"197' 8""",2015 UT Challenge,2015-05-02,HT,W
41,"Flores, Jessica",JR-3,Cal St. Fullerton,59.88m,"196' 5""",UNLV Spring Invitational,2015-03-21,HT,W
42,"Kovar, Kayla",SR-4,Southern Utah,59.84m,"196' 4""",Big Sky Conference Outdoor Track & Field Championships,2015-05-13,HT,W
43,"Pratt, Tonia",SR-4,Murray State,59.82m,"196' 3""",Margaret Simmons Invitational,2015-04-03,HT,W
44,"O'Hara, Emma",SO-2,Saint Francis (Pa.),59.79m,"196' 2""",Sam Howell Invitational,2015-04-03,HT,W
45,"Thorpe, Lyndsey",JR-3,Minnesota,59.78m,"196' 1""",Big Ten Outdoor Track & Field Championships,2015-05-15,HT,W
46,"Frazier, Jermisha",JR-3,SE Louisiana,59.77m,"196' 1""",McNeese Cowboy Relays,2015-03-14,HT,W
47,"Holtermann, Anna",SR-4,Iowa State,59.73m,"195' 11""",Musco Invitational,2015-05-02,HT,W
48,"Shelton, Marina",SO-2,Long Beach St.,59.72m,"195' 11""",2015 Beach Invitational,2015-04-17,HT,W
49,"Lesser, Emily",SR-4,North Dakota State,59.66m,"195' 9""",Lyle Hokanson Classic,2015-05-01,HT,W
50,"Daniels, Shreese",SR-4,Wyoming,59.65m,"195' 8""",Cowpoke Open,2015-05-01,HT,W
51,"Eggert, Jayd",JR-3,North Dakota,59.64m,"195' 8""",Drake Alternative,2015-04-25,HT,W
52,"Miller, Cortney",JR-3,UNLV,59.58m,"195' 6""",UNLV Spring Invitational,2015-03-21,HT,W
53,"Detloff, Molli",FR-1,North Dakota,59.57m,"195' 5""",Lyle Hokanson Classic,2015-05-01,HT,W
54,"Ondrusek, Alison",SO-2,Texas A&M,59.55m,"195' 4""",SEC Championships,2015-05-14,HT,W
55,"Block, Freya",SO-2,Southern Illinois,59.45m,"195' 0""",Pacesetter Sports Invitational,2015-05-02,HT,W
56,"Miranda, Paola",SO-2,TCU,59.39m,"194' 10""",TCU College Invite,2015-03-19,HT,W
57,"Guenther, Angie",SO-2,Minnesota,59.38m,"194' 10""",Big Ten Outdoor Track & Field Championships,2015-05-15,HT,W
58,"Johnson, Lea",JR-3,Miami,59.31m,"194' 7""",Miami Hurricane Invitational,2015-03-20,HT,W
58,"Garrett, Brea",SR-4,Texas A&M,59.31m,"194' 7""",TCU Horned Frog Invite,2015-05-02,HT,W
58,"Wells, LaPorscha",SO-2,Georgia State,59.31m,"194' 7""",Georgia Tech Invitational,2015-04-17,HT,W
61,"Chauvin, Krista",SR-4,Gardner-Webb,59.23m,"194' 4""",Big South Championships,2015-05-14,HT,W
62,"Hall, Sarah",SR-4,SE Missouri,59.19m,"194' 2""",Huskie Classic,2015-05-09,HT,W
63,"Pasiowitz, Courtney",SO-2,North Dakota State,59.15m,"194' 1""",The Summit League Outdoor Track & Field Championships,2015-05-13,HT,W
64,"Armstrong, Karyna",SO-2,Boise State,59.11m,"193' 11""",Border Clash 2015,2015-05-01,HT,W
65,"Tolson, Sarah",JR-3,Oklahoma,59.03m,"193' 8""",Baylor Invitational,2015-04-03,HT,W
66,"Burks, Ke-Ke",JR-3,Minnesota,58.90m,"193' 3""",Big Ten Outdoor Track & Field Championships,2015-05-15,HT,W
67,"Dornisch, Megan",JR-3,Akron,58.88m,"193' 2""",Mid-American Outdoor Track & Field Championships,2015-05-14,HT,W
68,"Jackson, Monet",SR-4,Colorado St.,58.86m,"193' 1""",Jack Christiansen Invitational,2015-04-24,HT,W
69,"Weimerskirch, Katelyn",SO-2,North Dakota State,58.62m,"192' 4""",CSULA 2015 Twilight Open,2015-04-16,HT,W
70,"Bell, Vesta",JR-3,UC Riverside,58.60m,"192' 3""",2015 Big West Championships,2015-05-15,HT,W
70,"Wehrli, Lydia",SR-4,Manhattan,58.60m,"192' 3""",Sam Howell Invitational,2015-04-03,HT,W
72,"Weeman, Aly",SR-4,Dayton,58.57m,"192' 2""",Tiger Track Classic 2015,2015-04-03,HT,W
73,"Jarchow, Ginger",JR-3,Arizona State,58.53m,"192' 0""",Duel in the Desert- ASU vs ARIZONA,2015-05-01,HT,W
74,"Fatherly, Rachel",JR-3,Penn State,58.44m,"191' 9""",Big Ten Outdoor Track & Field Championships,2015-05-15,HT,W
75,"Covington, Asianna",SO-2,Georgia,58.43m,"191' 8""",Florida Relays,2015-04-02,HT,W
76,"Esser, Agnes",FR-1,Minnesota,58.40m,"191' 7""",Musco Invitational,2015-05-02,HT,W
77,"Vester, Annjulie",SR-4,Penn State,58.27m,"191' 2""",Big Ten Outdoor Track & Field Championships,2015-05-15,HT,W
78,"Dobbelaere, Kylee",SO-2,Central Michigan,58.23m,"191' 0""",Ohio State - Jesse Owens Classic,2015-05-01,HT,W
79,"Okieme, Tiffany",JR-3,Miami,58.09m,"190' 7""",Miami Hurricane Alumni Invitational,2015-04-10,HT,W
80,"Gilmore, Caitlin",JR-3,Louisville,58.00m,"190' 3""",ACC Outdoor Track & Field Championships,2015-05-14,HT,W
81,"Boushea, Angela",SR-4,Wisconsin,57.98m,"190' 3""",Wisconsin Open,2015-05-08,HT,W
82,"Volgyi, Helga",SO-2,Eastern Michigan,57.89m,"189' 11""",Virginia Challenge,2015-04-17,HT,W
82,"Collatz, Alexandra",SR-4,USC,57.89m,"189' 11""",UCLA vs. USC,2015-05-03,HT,W
84,"Story, Avana",JR-3,North Carolina,57.87m,"189' 10""",Virginia Challenge,2015-04-17,HT,W
84,"Franke-Kuhn, Joanna",SR-4,Hawaii,57.87m,"189' 10""",Trojan Invitational,2015-03-20,HT,W
86,"Scott, Alexus",JR-3,Southern Illinois,57.86m,"189' 10""",Big Blue Classic 2015,2015-04-02,HT,W
