,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,WIND,EVENT,GENDER
35,"Charles, Jordan",SR-4,Wyoming,13.92@,Jerry Quiller Classic,2017-03-17,-0.5,110H,W
35,"Jackson, TeQuille",SR-4,N. Carolina A&T,13.92,MEAC Outdoor Championships,2017-05-04,2.9,110H,W
35,"Singleton, Terrell",SR-4,Kennesaw State,13.92,ASUN Outdoor Track & Field Championships,2017-05-12,0.6,110H,W
38,"Nwangwu, Emeka",JR-3,UT-Arlington,13.93,Sun Belt Outdoor Track and Field Championships,2017-05-12,2.3,110H,W
39,"Boully, AJ",SR-4,Utah State,13.95@,Mountain West Outdoor Track & Field Championships,2017-05-10,1.1,110H,W
39,"Limehouse, Keishaun",FR-1,Coastal Carolina,13.95,UF Tom Jones Memorial,2017-04-28,0.0,110H,W
39,"Agodu, Will",SO-2,Michigan State,13.95,Big Ten Outdoor Championships,2017-05-12,1.8,110H,W
42,"Donald, Larry",JR-3,Arkansas,13.96,SEC Relays,2017-04-28,2.3,110H,W
43,"Session, William",FR-1,Indiana,13.97,Big Ten Outdoor Championships,2017-05-12,1.5,110H,W
43,"Showalter, Taj",SR-4,Maryland-Eastern Shore,13.97,MEAC Outdoor Championships,2017-05-04,2.9,110H,W
45,"Goss, Angelo",JR-3,Alabama,13.98,War Eagle Invititaional,2017-04-21,2.6,110H,W
45,"Price, Hunter",JR-3,Colorado St.,13.98,Mt. SAC Relays/CA Invitational Multi Events,2017-04-12,2.4,110H,W
47,"Newman, Wayne",JR-3,Lipscomb,13.99,Crimson Tide Invitational,2017-04-07,0.4,110H,W
47,"Wasik, Steele",JR-3,Texas,13.99,Longhorn Invitational,2017-04-28,3.4,110H,W
49,"Gomes, Paedyn",JR-3,Yale,14.00,Ivy League Outdoor Track & Field Championships,2017-05-06,2.4,110H,W
49,"Akindele, Dayo",SO-2,Kennesaw State,14.00,Florida Relays,2017-03-30,1.0,110H,W
51,"Jackson, Dashaun",SO-2,Saint Francis (Pa.),14.01,Northeast Conference Championship 2017,2017-05-06,2.2,110H,W
51,"Atkinson, Jovaine",FR-1,Liberty,14.01,Gamecock Invitational,2017-04-15,1.3,110H,W
53,"Graham, Charles",SO-2,Hampton,14.02,MEAC Outdoor Championships,2017-05-04,1.6,110H,W
53,"Hayden, Jonathan",JR-3,Western Kentucky,14.02@,2017 Conference USA Outdoor Track & Field Championship,2017-05-11,1.0,110H,W
55,"Fincher, Victor",SO-2,UT-Arlington,14.03,Texas Invitational,2017-04-14,2.6,110H,W
56,"Veteto, Justin",JR-3,Purdue,14.04,Big Ten Outdoor Championships,2017-05-12,1.2,110H,W
57,"Lindsey, Andre",JR-3,Sacramento St.,14.05,2017 Big Sky Outdoor Track & Field Championships,2017-05-10,2.0,110H,W
57,"Hunt, Kevondre",JR-3,Coastal Carolina,14.05,UF Tom Jones Memorial,2017-04-28,2.3,110H,W
57,"Tollefson, Jon",FR-1,Minnesota,14.05,Big Ten Outdoor Championships,2017-05-12,1.2,110H,W
60,"Lewis, Kirk",JR-3,Clemson,14.06,ACC Outdoor Track & Field Championships,2017-05-12,-0.6,110H,W
60,"Brendel, Tyler",SO-2,California,14.06,The Big Meet,2017-04-08,0.6,110H,W
62,"Chambliss, Caleb",SR-4,Florida,14.07,UF Tom Jones Memorial,2017-04-28,1.3,110H,W
63,"Williams, Logan",JR-3,Prairie View,14.08,2017 90th Clyde Littlefield Texas Relays,2017-03-29,3.0,110H,W
64,"Hebert, Jay",JR-3,Harvard,14.09,Ivy League Outdoor Track & Field Championships,2017-05-06,2.7,110H,W
64,"Miller, Robert",FR-1,N. Carolina A&T,14.09,MEAC Outdoor Championships,2017-05-04,2.9,110H,W
66,"Billian, Ryan",SR-4,Buffalo,14.10,Mid-American Outdoor Track & Field Championships,2017-05-11,2.2,110H,W
66,"Siedhoff, Luke",FR-1,Nebraska,14.10,Big Ten Outdoor Championships,2017-05-12,1.5,110H,W
66,"Tucker, Infinite",FR-1,Texas A&M,14.10,Roadrunner Invitational,2017-03-23,2.2,110H,W
66,"Brixey, Sam",FR-1,Washington St.,14.10,Bob Larsen Distance Carnival/UCLA Legends Invite,2017-03-31,-1.4,110H,W
70,"Turner, Joshua",JR-3,Cal St. Northridge,14.11,2017 Big West Track & Field Championships,2017-05-12,1.6,110H,W
70,"Walden, Aric",SR-4,Sacramento St.,14.11,2017 Big Sky Outdoor Track & Field Championships,2017-05-10,2.0,110H,W
72,"Seward, DaJuan",SO-2,Ohio State,14.12,2017 Jesse Owens University Classic,2017-04-21,2.7,110H,W
72,"Gustafsson, Petter",JR-3,UT-Arlington,14.12,Texas Invitational,2017-04-14,2.6,110H,W
72,"Neptune, Daniel",JR-3,FIU,14.12@,2017 Conference USA Outdoor Track & Field Championship,2017-05-11,1.4,110H,W
72,"Robertson, Donovan",SR-4,Ohio State,14.12,Big Ten Outdoor Championships,2017-05-12,1.2,110H,W
76,"Burt, John",SO-2,Texas,14.13,Longhorn Invitational,2017-04-28,3.4,110H,W
77,"Fountain, Daurice",SO-2,Northern Iowa,14.14,2017 MVC Outdoor Track and Field Championships,2017-05-12,1.9,110H,W
77,"Alston, Edwin",SO-2,Central Connecticut,14.14,Northeast Conference Championship 2017,2017-05-06,2.2,110H,W
77,"Jennings, Dee",SO-2,Coastal Carolina,14.14,UF Tom Jones Memorial,2017-04-28,0.0,110H,W
77,"Townsend, Todd",JR-3,N. Carolina A&T,14.14,Florida Relays,2017-03-30,2.6,110H,W
81,"Phillips, Cole",SO-2,Northern Iowa,14.16,2017 MVC Outdoor Track and Field Championships,2017-05-12,1.1,110H,W
81,"Burgman, Marques",SR-4,Florida,14.16,Florida Relays,2017-03-30,1.5,110H,W
81,"Keeton, Marcel",FR-1,Central Arkansas,14.16,Southland Conference Outdoor Championship,2017-05-12,1.0,110H,W
81,"Gleason, Kerry",JR-3,Stephen F. Austin,14.16,Southland Conference Outdoor Championship,2017-05-12,1.0,110H,W
81,"Parker, Caleb",FR-1,Southern Miss.,14.16@,2017 Conference USA Outdoor Track & Field Championship,2017-05-11,1.0,110H,W
81,"Battick, Levaughn",FR-1,UL-Monroe,14.16,Bobby Lane Invitational,2017-03-25,2.6,110H,W
87,"Spears, Ro'Derick",SR-4,Miss State,14.17,South Alabama Invitational,2017-04-15,1.6,110H,W
87,"Henry, Stephon",JR-3,Connecticut,14.17,The American Outdoor Track & Field Championships,2017-05-12,0.7,110H,W
87,"Woods, Julian",SR-4,Mount St. Mary's,14.17,Northeast Conference Championship 2017,2017-05-06,2.2,110H,W
87,"Montgomery, Devon",SO-2,Southern Utah,14.17,2017 Big Sky Outdoor Track & Field Championships,2017-05-10,2.0,110H,W
87,"Doucette, Ben",FR-1,Idaho,14.17,2017 Big Sky Outdoor Track & Field Championships,2017-05-10,2.0,110H,W
87,"Stark, William",SR-4,Sam Houston St.,14.17,Southland Conference Outdoor Championship,2017-05-12,1.0,110H,W
93,"Moore, Martice",SO-2,Louisville,14.18,2017 Louisville Invitational,2017-04-14,2.7,110H,W
93,"Ward, Andreas",JR-3,Georgia Tech,14.18,UF Tom Jones Memorial,2017-04-28,2.3,110H,W
95,"Neal, Andrew",JR-3,Nebraska,14.19,Big Ten Outdoor Championships,2017-05-12,1.5,110H,W
95,"Kendall, Maliek",FR-1,Texas Southern,14.19,SWAC Outdoor Championship,2017-05-05,1.7,110H,W
97,"Carter, Scott",SR-4,Wyoming,14.20@,Mountain West Outdoor Track & Field Championships,2017-05-10,1.1,110H,W
97,"Hillard, Joshua",SO-2,Jackson State,14.20,SWAC Outdoor Championship,2017-05-05,1.7,110H,W
97,"Moodie, Roderick",SO-2,LIU Brooklyn,14.20,2017 Aggie Invitational,2017-04-14,0.5,110H,W
97,"Lassiter, James",SR-4,Central Arkansas,14.20,Southland Conference Outdoor Championship,2017-05-12,1.0,110H,W
1,"Holloway, Grant",SO-2,Florida,13.15,SEC Outdoor Track and Field Championships,2018-05-11,0.9,110H,W
2,"Roberts, Daniel",SO-2,Kentucky,13.27,SEC Outdoor Track and Field Championships,2018-05-11,0.9,110H,W
3,"Walters, Ruebin",SR-4,Alabama,13.28,SEC Outdoor Track and Field Championships,2018-05-11,2.3,110H,W
4,"Thomas, Damion",FR-1,LSU,13.39,SEC Outdoor Track and Field Championships,2018-05-11,2.3,110H,W
5,"Kendziera, David",SR-4,Illinois,13.46,Ole Miss Classic,2018-03-31,2.1,110H,W
6,"Lloyd, Antoine",SR-4,Nebraska,13.50,Big Ten Championships,2018-05-11,2.0,110H,W
7,"Dickson, Michael",JR-3,N. Carolina A&T,13.54,MEAC Outdoor Track & Field Championships,2018-05-03,1.0,110H,W
8,"Burt, John",JR-3,Texas,13.56,Big 12 Conference Outdoor Track and Field Championships,2018-05-11,2.8,110H,W
9,"Cunningham, Trey",FR-1,Florida State,13.57,Seminole Twilight,2018-05-04,0.6,110H,W
9,"Session, William",SO-2,Indiana,13.57,Big Ten Championships,2018-05-11,2.0,110H,W
9,"Canady, Braxton",SO-2,Oregon,13.57,2018 Pac-12 Track & Field Championships,2018-05-12,3.5,110H,W
12,"Nicholls, Michael",JR-3,Georgia,13.62,Home Depot Clyde Littlefield Texas Relays,2018-03-28,3.6,110H,W
13,"Seward, DaJuan",JR-3,Ohio State,13.64,Big Ten Championships,2018-05-11,2.0,110H,W
14,"McConico, Jaylan",SO-2,Illinois State,13.65,2018 MVC Outdoor Track & Field Championships,2018-05-11,0.6,110H,W
14,"Spears, Ro'Derick",SR-4,Miss State,13.65,SEC Outdoor Track and Field Championships,2018-05-11,1.0,110H,W
16,"Veteto, Justin",SR-4,Purdue,13.67,2018 Louisville Invitational,2018-04-13,2.9,110H,W
17,"Poole, Cory",FR-1,Florida,13.68,SEC Outdoor Track and Field Championships,2018-05-11,0.9,110H,W
18,"Zallow, Chad",JR-3,Youngstown St.,13.69,Horizon League Outdoor Track & Field Championships,2018-05-04,3.4,110H,W
19,"Townsend, Todd",SR-4,N. Carolina A&T,13.72,NCAT Aggie Invitational,2018-04-13,0.6,110H,W
19,"Siedhoff, Luke",SO-2,Nebraska,13.72,Big Ten Championships,2018-05-11,2.0,110H,W
19,"Goss, Angelo",SR-4,Syracuse,13.72,ACC Outdoor Championships,2018-05-10,-0.6,110H,W
19,"Lattin, Amere",JR-3,Houston,13.72,Home Depot Clyde Littlefield Texas Relays,2018-03-28,3.6,110H,W
23,"Akindele, Dayo",JR-3,Kennesaw State,13.74,Home Depot Clyde Littlefield Texas Relays,2018-03-28,2.0,110H,W
24,"Prince, Patrick",JR-3,UTSA,13.75,2018 Conference USA Outdoor Track & Field Championships,2018-05-10,0.7,110H,W
25,"Atkinson, Jovaine",SO-2,Liberty,13.77,Home Depot Clyde Littlefield Texas Relays,2018-03-28,3.6,110H,W
26,"Chattoo, Shakiel",SO-2,Arkansas,13.79,Home Depot Clyde Littlefield Texas Relays,2018-03-28,1.2,110H,W
