,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,WIND,EVENT,GENDER
75,"Bhadmos, Morayo",SO-2,Samford,12.65m,"41' 6""",Samford Alabama Track Challenge 2019,2019-04-11,2.2,TJ,W
75,"Shaw, Alexus",JR-3,Georgia State,12.65m,"41' 6""",Torrin Lawrence Memorial,2019-04-26,0.0,TJ,W
78,"Riley, Diamond",FR-1,Northern Illinois,12.62m,"41' 5""",Michael Johnson Invitational,2019-04-19,1.6,TJ,W
78,"Marable, Kennedy",SO-2,Cincinnati,12.62m,"41' 5""",The American Outdoor Track & Field Championships,2019-05-10,1.6,TJ,W
80,"Gibbs, Brittney",SR-4,SIU Edwardsville,12.61m,"41' 4.5""",Memphis Tiger invitational,2019-04-26,3.1,TJ,W
81,"Sackor, Adja",SO-2,Jacksonville,12.60m,"41' 4.25""",ASUN Outdoor Track & Field Championships,2019-05-10,0.9,TJ,W
82,"Fisher, Arianna",FR-1,Missouri,12.58m,"41' 3.25""",Mizzou Spring Open,2019-04-06,1.4,TJ,W
82,"Antoine, Javonne",SR-4,North Carolina St.,12.58m,"41' 3.25""",Virginia Challenge,2019-04-19,0.1,TJ,W
82,"Allen, Tristyn",SR-4,Sam Houston St.,12.58m,"41' 3.25""",37th Annual Victor Lopez Classic,2019-03-21,1.4,TJ,W
82,"Coleman, Daija",SR-4,UT-Rio Grande Valley,12.58m,"41' 3.25""",WAC Outdoor Track and Field Championships,2019-05-09,-1.0,TJ,W
82,"Hill, Christian",FR-1,Memphis,12.58m,"41' 3.25""",Memphis Tiger invitational,2019-04-26,3.1,TJ,W
87,"Ezeoke, Nicole",FR-1,Oklahoma,12.54m,"41' 1.75""",Big 12 Outdoor Track and Field Championships,2019-05-10,1.5,TJ,W
87,"Strickland, Najuana",SR-4,Oklahoma,12.54m,"41' 1.75""",Big 12 Outdoor Track and Field Championships,2019-05-10,1.3,TJ,W
89,"Mullings, Cathilee",JR-3,New Mexico,12.53m,"41' 1.5""",2019 Don Kirby Tailwind Open,2019-04-06,3.6,TJ,W
90,"Jordan, Jade",SO-2,Charlotte,12.52m,"41' 1""",Conference USA Outdoor Championships,2019-05-09,0.4,TJ,W
90,"Van Tonder, Renate",JR-3,Louisville,12.52m,"41' 1""",Houston Spring Break Invitational,2019-03-14,3.4,TJ,W
92,"Stith, Brooke",SO-2,East Carolina,12.51m,"41' 0.5""",The American Outdoor Track & Field Championships,2019-05-10,0.1,TJ,W
92,"Ekblom, Sandra",JR-3,Memphis,12.51m,"41' 0.5""",Memphis Tiger invitational,2019-04-26,3.4,TJ,W
92,"Newman, Aliyah",SO-2,VCU,12.51m,"41' 0.5""",Miami Hurricane Invitational,2019-03-15,2.7,TJ,W
95,"Davidson, Daneesha",SO-2,UCF,12.50m,"41' 0.25""",UF Tom Jones Memorial,2019-04-26,-1.4,TJ,W
96,"Nolan, Jade",SR-4,DePaul,12.49m,"40' 11.75""",2019 Lenny Lyles-Clark Wood Invitational,2019-04-26,1.5,TJ,W
96,"Wissing, Katie",SO-2,Saint Louis,12.49m,"40' 11.75""",Atlantic 10 Outdoor Track & Field Championships,2019-05-04,0.3,TJ,W
96,"Eskridge, Brianna",JR-3,Western Kentucky,12.49m,"40' 11.75""",Conference USA Outdoor Championships,2019-05-09,-0.6,TJ,W
99,"Wallace, Ty",JR-3,Cal St. Northridge,12.48m,"40' 11.5""",Big West Outdoor Track & Field Championships,2019-05-10,0.0,TJ,W
99,"Washington, Symone",FR-1,Oklahoma,12.48m,"40' 11.5""",Big 12 Outdoor Track and Field Championships,2019-05-10,0.6,TJ,W
1,"Orji, Keturah",FR-1,Georgia,14.13m,"46' 4.25""",SEC Championships,2015-05-14,2.7,TJ,W
2,"Brewer, Ciarra",SR-4,Florida,13.49m,"44' 3.25""",Florida Relays,2015-04-02,0.0,TJ,W
3,"LaFond, Thea",SR-4,Maryland,13.48m,"44' 2.75""",Big Ten Outdoor Track & Field Championships,2015-05-15,2.4,TJ,W
4,"Greenlee, Chardae",SO-2,Memphis,13.47m,"44' 2.5""",The American Outdoor Track & Field Championships,2015-05-14,2.4,TJ,W
5,"Revell, Paetyn",SO-2,Texas Tech,13.43m,"44' 0.75""",Texas Tech Red Raider Open,2015-04-30,1.8,TJ,W
6,"Eke, Nadia",SR-4,Columbia,13.39m,"43' 11.25""",2015 Penn Relays,2015-04-23,2.1,TJ,W
7,"Friar, Nataliyah",SO-2,LSU,13.36m,"43' 10""",SEC Championships,2015-05-14,0.9,TJ,W
8,"Richardson, Brianna",JR-3,Baylor,13.34m,"43' 9.25""",Baylor Invitational,2015-04-03,2.0,TJ,W
9,"Franklin, Tori",SR-4,Michigan State,13.30m,"43' 7.75""",Ohio State - Jesse Owens Classic,2015-05-01,1.1,TJ,W
10,"Charley, Simone",SO-2,Vanderbilt,13.28m,"43' 7""",SEC Championships,2015-05-14,3.3,TJ,W
