,TEAM,TIME,ATHLETES,MEET,MEET DATE,EVENT,GENDER
80,Cal St. Fullerton (B),40.10,"Penick, Smith, Zimmerman, Matos",Big West Outdoor Track & Field Championships,2016-05-13,4x100,M
80,Troy (C),40.10,"Floyd, Montgomery, Rice, Martin",Sun Belt Conference Outdoor Track & Field Championships,2016-05-13,4x100,M
82,Northern Arizona (A),40.11@,"Norris, Fisher, Kennedy, Tchenawou",Big Sky Outdoor Track & Field Championships,2016-05-11,4x100,M
82,South Carolina (C),40.11,"Winters, Jr, Titi, Bermudez, Lewis",Georgia Tech Yellow Jacket Invitational,2016-03-25,4x100,M
84,BYU (A),40.12,"Lord, Tingey, Tsumba, Abbott",2016 Oxy Invitational (College/University),2016-05-07,4x100,M
85,Alabama (A),40.13,"Green, Ali, Pinder, Likely",Florida Relays,2016-03-31,4x100,M
85,Houston (I),40.13,"Lewis III, Williams, McWilliams, Jefferson",Carolyn & Ron Yokubaitis Invitational,2016-04-23,4x100,M
85,Syracuse (B),40.13,"Crittenden, Miller, Warden, Lee",Miami Hurricane Alumni Invitational,2016-04-08,4x100,M
85,Georgia (C),40.13,"Okoye, Jenkins, Evans, Freeman",Florida Relays,2016-03-31,4x100,M
89,Minnesota (B),40.14,"Charles, Neumann, Godi, Yedoni",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,4x100,M
90,South Dakota (A),40.15,"Thony, Lewin, O'Connell, Williams",Baldy Castillo Invitational,2016-03-18,4x100,M
91,Northwestern St. (B),40.16,"White, Larkins, Flaviano, James",Leon Johnson Invitational,2016-04-08,4x100,M
91,Houston (D),40.16,"Lewis III, Williams, McWilliams, Brown",34th Annual Victor Lopez Classic,2016-03-24,4x100,M
93,Washington St. (A),40.17,"Smith, Charles, Chambers, Green",WSU-UW Dual Meet,2016-04-23,4x100,M
94,Oregon (A),40.18,"Moore, White, Thiel, Chambers",Willie Williams Classic,2016-03-18,4x100,M
95,N. Carolina A&T (B),40.19,"Eaddy, Quarles, Dickson, Rowe",Alan Connie Shamrock Invitational,2016-03-17,4x100,M
96,New Mexico (A),40.20,"Bajere, Hamilton, Salcido, Jones",Payton Jordan Invitational,2016-05-01,4x100,M
96,Miss State (B),40.20,"Crawford, Rocha, Taylor, Larry",SEC Championships,2016-05-12,4x100,M
98,Clemson (B),40.21,"Lamb, Cheeks, Hester, Kamara",ACC Championships,2016-05-13,4x100,M
99,Purdue (B),40.22,"McGee, Dotson, Pennerman, Parks",2016 Indiana - Purdue Duals,2016-04-23,4x100,M
99,UCLA (E),40.22,"Walker, Benjamin, Marshall, Powell",Pac-12 Outdoor Track & Field Championships,2016-05-14,4x100,M
1,LSU,38.41,"Hislop, Vincent, Peebles, Flournoy",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,4x100,M
2,Houston,38.45,"Alexander, Burke, Taylor, Collins",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,4x100,M
3,Florida,38.52,"Ekevwo, Sani Brown, Holloway, Clark",UF Tom Jones Memorial,2019-04-26,4x100,M
4,Oregon,38.72,"Schmidt, Gillespie, Daniel, Palmer",2019 Pac-12 Track & Field Championships,2019-05-04,4x100,M
5,LSU (B),38.82,"Hislop, Vincent, Mosby, Flournoy",LSU Alumni Gold,2019-04-20,4x100,M
6,Texas Tech,38.83,"Sutton, Oduduru, Hudson, Shelton",Big 12 Outdoor Track and Field Championships,2019-05-10,4x100,M
7,Texas Tech (B),38.87,"Sutton, Oduduru, Hudson, Shelton",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,4x100,M
8,Oklahoma,38.99,"Webb, Sheffield, Brown, Ellis",Big 12 Outdoor Track and Field Championships,2019-05-10,4x100,M
9,Sam Houston St.,39.11,"McCall, Martin, Henderson, Jefferson",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,4x100,M
10,Florida State,39.14,"Gay, Matherson, Timpson, Ewers",UF Tom Jones Memorial,2019-04-26,4x100,M
10,N. Carolina A&T (B),39.14,"Sirleaf, Stewart, Dickson, Rowe",LSU Alumni Gold,2019-04-20,4x100,M
10,N. Carolina A&T,39.14,"Croom-McFadden, Sirleaf, Dickson, Rowe",MEAC Outdoor Track & Field Championships,2019-05-02,4x100,M
13,Ohio State,39.16,"Mott, Gray, Harrison, Johnson",Gamecock Invitational Outdoor,2019-04-13,4x100,M
14,N. Carolina A&T (C),39.21,"Lindo, Sirleaf, Dickson, Rowe",Florida Relays,2019-03-28,4x100,M
15,Houston (B),39.23,"Nicholas, Burke, Taylor, Collins",125th Penn Relays,2019-04-25,4x100,M
16,Arkansas,39.26,"Oglesby, Boyd, Hari, Ejiakuekwu",SEC Outdoor Track & Field Championships,2019-05-09,4x100,M
17,Florida State (B),39.28,"Rincher, Matherson, Timpson, Ewers",ACC Championships,2019-05-09,4x100,M
18,LSU (C),39.31,"Thomas, Hislop, Mosby, Flournoy",LSU Battle on the Bayou,2019-04-06,4x100,M
19,USC,39.34,"Owens, Stewart, Shinnick, Allen Jr.",USC vs UCLA,2019-04-27,4x100,M
20,Western Kentucky,39.35,"Bush, Owusu-Antwi, Gates, Davis",Conference USA Outdoor Championships,2019-05-09,4x100,M
21,Purdue (B),39.39,"Becker, Dotson, Colebrooke, Williams",Jim Click Shootout,2019-04-06,4x100,M
21,Purdue,39.39,"Greene, Colebrooke, Becker, Williams",Big Ten Championships,2019-05-10,4x100,M
23,Coppin State,39.41,"Hodges, Amoah, Westcarr, Manu",MEAC Outdoor Track & Field Championships,2019-05-02,4x100,M
24,Oklahoma (B),39.42,"Webb, Sheffield, Brown, Ellis",John Jacobs Invitational,2019-04-19,4x100,M
25,Virginia Tech,39.46,"Tay, Patterson, Davenport, Beck",ACC Championships,2019-05-09,4x100,M
26,Memphis,39.47,"DeMoss, Persiado, Austin, Bishop",The American Outdoor Track & Field Championships,2019-05-10,4x100,M
