,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
76,"Wanliss, O'Neal",JR-3,North Carolina,1:49.29,Duke Twilight,2015-05-06,800,M
77,"Ibadin, Edose",SR-4,Hampton,1:49.32,Virginia Grand Prix,2015-05-08,800,M
78,"Leithiser, Jake",JR-3,Maine,1:49.34,LSU Alumni Gold,2015-04-18,800,M
79,"Morken, Nick",FR-1,North Florida,1:49.35,UF Tom Jones Memorial,2015-04-24,800,M
80,"Ingalls, Joshua",FR-1,Princeton,1:49.36,Princeton Open (College),2015-05-01,800,M
81,"Duffey, Paul",SO-2,Northeastern,1:49.37,9th Spring Classic Invitational,2015-03-21,800,M
82,"Manhertz, Derrell",SO-2,Texas,1:49.38,Texas Invitational,2015-04-11,800,M
82,"Lampron, Josh",SO-2,Villanova,1:49.38,Miami Hurricane Alumni Invitational,2015-04-10,800,M
84,"Combs, Aaron",SR-4,UNC-Wilmington,1:49.41,Virginia Grand Prix,2015-05-08,800,M
85,"Uhr, Robert",SO-2,Texas,1:49.44,Longhorn Invitational,2015-05-02,800,M
86,"Kiley, Nathan",SO-2,Virginia,1:49.48,Virginia Challenge,2015-04-17,800,M
86,"Elliott, David",JR-3,Boise State,1:49.48,Border Clash 2015,2015-05-01,800,M
88,"Fanelty, Zack",SR-4,Georgia Tech,1:49.51,Georgia Tech Invitational,2015-04-17,800,M
89,"Johnson, Anthony",SO-2,Ohio State,1:49.54,Big Ten Outdoor Track & Field Championships,2015-05-15,800,M
90,"Nicholls, Cory",SO-2,North Carolina,1:49.56,Duke Twilight,2015-05-06,800,M
90,"Muhammad, Ishmael",FR-1,Villanova,1:49.56,Princeton Open (College),2015-05-01,800,M
92,"Kauppila, Noah",FR-1,Princeton,1:49.58,Ivy League Outdoor Track & Field Championships,2015-05-09,800,M
93,"Paternostro, Bradley",SR-4,Princeton,1:49.63,Princeton Open (College),2015-05-01,800,M
94,"Newton, Ellis",FR-1,California,1:49.64,Pac-12 Track & Field Championships,2015-05-15,800,M
94,"Shellhorn, Eric",SR-4,Utah State,1:49.64@,2015 Utah State Mark Faldmo Meet,2015-04-17,800,M
96,"McAdams, Brett",SO-2,Utah State,1:49.65@,2015 UVU Collegiate Invitational,2015-03-27,800,M
97,"Batson, Michael",SO-2,New Orleans,1:49.66,LSU Battle on the Bayou,2015-04-04,800,M
98,"Littig, Andres",FR-1,Georgia Tech,1:49.67,Florida Relays,2015-04-02,800,M
98,"Gordon, Nate",SO-2,Georgetown,1:49.67,Kehoe Twilight Meet,2015-05-01,800,M
100,"Napolitano, Rob",SO-2,Columbia,1:49.73,Larry Ellis (College),2015-04-17,800,M
1,"Dixon, Devin",JR-3,Texas A&M,1:44.76,SEC Outdoor Track & Field Championships,2019-05-09,800,M
2,"Arop, Marco",SO-2,Miss State,1:45.50,Crimson Tide Invitational,2019-04-11,800,M
3,"Hoppel, Bryce",JR-3,Kansas,1:45.87,National Relay Championships,2019-04-26,800,M
4,"Jewett, Isaiah",JR-3,USC,1:46.11,Mt. SAC Relays,2019-04-18,800,M
5,"White, Joseph",SR-4,Georgetown,1:46.31,Mt. SAC Relays,2019-04-18,800,M
6,"Koech, Jonah",SR-4,Texas Tech,1:46.42,Big 12 Outdoor Track and Field Championships,2019-05-10,800,M
7,"Roomes, Roshon",JR-3,Iowa State,1:46.91,Big 12 Outdoor Track and Field Championships,2019-05-10,800,M
