,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,WIND,EVENT,GENDER
32,"Brown, Brittany",JR-3,Iowa,11.35,Big Ten Outdoor Championships,2017-05-12,1.9,100,W
32,"Pipi, Ama",JR-3,Oklahoma,11.35,Big 12 Outdoor Track & Field Championships,2017-05-12,3.5,100,W
37,"Hadley, Sabria",JR-3,Clemson,11.36,Spec Towns Invitational,2017-04-07,1.9,100,W
37,"Baldwin, Jacquelyn",SO-2,Jacksonville,11.36,ASUN Outdoor Track & Field Championships,2017-05-12,0.9,100,W
37,"Westbrook, Ky",SO-2,USC,11.36,Mt. SAC Relays,2017-04-13,-0.8,100,W
37,"Auzenne, Micha",SR-4,San Diego St.,11.36@,Mountain West Outdoor Track & Field Championships,2017-05-10,2.4,100,W
41,"Moore, Sabrina",JR-3,TCU,11.37,Big 12 Outdoor Track & Field Championships,2017-05-12,3.0,100,W
41,"Ray, Shannon",JR-3,Ole Miss,11.37,War Eagle Invititaional,2017-04-21,2.9,100,W
41,"Bullock, Dominique",JR-3,Auburn,11.37,War Eagle Invititaional,2017-04-21,2.9,100,W
44,"Baylark, Jada",FR-1,Arkansas,11.38,SEC Relays,2017-04-28,2.0,100,W
44,"Hardy, Tramesha",SO-2,Texas State,11.38,Sun Belt Outdoor Track and Field Championships,2017-05-12,2.4,100,W
46,"White, Kayla",SO-2,N. Carolina A&T,11.39,Spec Towns Invitational,2017-04-07,1.9,100,W
46,"Grant, Raven",SO-2,Louisville,11.39,2017 Louisville Invitational,2017-04-14,3.7,100,W
48,"Gray, Kianna",SO-2,Kentucky,11.40,Florida Relays,2017-03-30,1.3,100,W
48,"Bethel, Brianne",FR-1,Houston,11.40,The American Outdoor Track & Field Championships,2017-05-12,1.9,100,W
48,"Gause, Diamond",SR-4,Alabama,11.40,War Eagle Invititaional,2017-04-21,2.9,100,W
51,"William-Mensah, Persis",JR-3,UC Irvine,11.41,Mt. SAC Relays,2017-04-13,2.8,100,W
51,"Harvey, Rushell",SR-4,LSU,11.41,2017 90th Clyde Littlefield Texas Relays,2017-03-29,2.8,100,W
53,"Davis, Jerayah",SO-2,Wyoming,11.42,Pacific Beach Intercollegiate,2017-04-13,1.5,100,W
54,"Carson, Savannah",JR-3,Purdue,11.43,2017 Louisville Invitational,2017-04-14,3.7,100,W
55,"Johnson, Tiffani",SO-2,Texas Tech,11.44,2017 Horned Frog Invitational,2017-04-15,2.5,100,W
55,"Howells, Sydney",SO-2,UTSA,11.44,UTSA Invitational,2017-03-17,2.0,100,W
55,"Veale, Marie",SR-4,Cal St. Northridge,11.44,2017 Big West Track & Field Championships,2017-05-12,2.8,100,W
55,"Warner, Courtney",SO-2,East Carolina,11.44,Florida Relays,2017-03-30,3.4,100,W
55,"Jackson, Hannah",FR-1,Rice,11.44,Houston Alumni Invitational,2017-04-08,3.5,100,W
60,"Chavez, Cera",FR-1,Memphis,11.45,Memphis Invitational 2017,2017-04-28,2.2,100,W
60,"Martin, Jada",SR-4,LSU,11.45,Mt. SAC Relays,2017-04-13,-0.8,100,W
60,"Francis, Zaria",FR-1,USC,11.45,USC vs. UCLA,2017-04-29,3.0,100,W
60,"Gilbert, Ravin",SR-4,Georgia State,11.45,Sun Belt Outdoor Track and Field Championships,2017-05-12,2.4,100,W
64,"Horton, Kiana",SO-2,Baylor,11.46,Big 12 Outdoor Track & Field Championships,2017-05-12,3.5,100,W
64,"Hudspeth, Najia",JR-3,UNLV,11.46@,Mountain West Outdoor Track & Field Championships,2017-05-10,3.6,100,W
64,"Golden, Zola",SO-2,Texas,11.46,2017 90th Clyde Littlefield Texas Relays,2017-03-29,2.8,100,W
64,"Barnes, Aaliyah",SR-4,Ohio State,11.46,Big Ten Outdoor Championships,2017-05-12,1.9,100,W
64,"Glenn, Simone",JR-3,San Diego St.,11.46,Beach Invitational,2017-04-14,3.4,100,W
