,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,WIND,EVENT,GENDER
35,"Mackey, Trevor",SR-4,Texas Tech,10.29@,Texas Tech Red Raider Open,2015-04-30,1.0,100,M
37,"Smith, Terrell",FR-1,Kansas State,10.30,Rock Chalk Classic,2015-05-02,3.2,100,M
37,"Anumnu, Charles",SO-2,Texas,10.30,2015 Clyde Littlefield Texas Relays,2015-03-25,3.3,100,M
37,"Buckley, William",SO-2,Appalachian State,10.30,Sun Belt Outdoor Track and Field Championships,2015-05-08,1.6,100,M
37,"Ali, Ahmed",JR-3,Alabama,10.30,SEC Championships,2015-05-14,2.8,100,M
41,"Hicks, Jermey",SO-2,Louisiana Tech,10.31,LSU Alumni Gold,2015-04-18,2.6,100,M
41,"Saucer, Vinnie",SO-2,Iowa,10.31,Big Ten Outdoor Track & Field Championships,2015-05-15,2.2,100,M
41,"Dendy, Marquis",SR-4,Florida,10.31,Florida Relays,2015-04-02,-1.1,100,M
44,"Cotton, Kenzo",FR-1,Arkansas,10.32,SEC Championships,2015-05-14,2.3,100,M
44,"Faust, Timothy",SR-4,Ohio State,10.32,Big Ten Outdoor Track & Field Championships,2015-05-15,2.2,100,M
44,"Watts, Sam",JR-3,TCU,10.32,Wes Kittley Invitational 2015,2015-04-11,2.7,100,M
47,"Cabrera, Angelo",SR-4,Bethune-Cookman,10.33,MEAC Outdoor T&F Championships,2015-04-30,1.0,100,M
47,"Fisher, James",SO-2,Northern Arizona,10.33,Big Sky Conference Outdoor Track & Field Championships,2015-05-13,3.8,100,M
49,"Cummings, Darnell",SR-4,Connecticut,10.34,The American Outdoor Track & Field Championships,2015-05-14,1.6,100,M
49,"Duggans, Drew",SO-2,Kennesaw State,10.34,North Florida Twilight Meet,2015-04-10,2.8,100,M
49,"Bluth, Parker",JR-3,Utah State,10.34,Mountain West Outdoor Track & Field Championships,2015-05-13,2.6,100,M
49,"Jenkins, Devin",JR-3,Texas A&M,10.34,SEC Championships,2015-05-14,2.8,100,M
53,"Cowan, Kameron",SR-4,Grambling,10.35,Georgia Invitational,2015-05-09,-1.0,100,M
53,"Shaw, Cameron",SR-4,UNC-Wilmington,10.35,2015 Aggie Last Chance,2015-05-17,0.2,100,M
53,"Muhammad, Khalfani",SO-2,California,10.35,Brutus Hamilton Challenge,2015-04-25,2.8,100,M
53,"Brown, Raheem",JR-3,SE Louisiana,10.35,LSU Alumni Gold,2015-04-18,2.6,100,M
53,"Billian, Ryan",JR-3,Buffalo,10.35,Mid-American Outdoor Track & Field Championships,2015-05-14,1.3,100,M
58,"Armstrong, Traveyon",SO-2,Oklahoma,10.36,Big 12 Outdoor Track & Field Championships,2015-05-15,1.3,100,M
58,"Smith, Teray",SO-2,Auburn,10.36,Al vs MS Border Clash,2015-04-10,0.4,100,M
60,"Wright, Antwan",JR-3,Florida,10.37,SEC Championships,2015-05-14,2.3,100,M
60,"Thymes, Just'N",JR-3,USC,10.37,2015 Jim Click Shootout,2015-04-11,0.4,100,M
62,"Gordon, Wayne",SR-4,Kent State,10.38,Akron Campbell-Wright Invitational,2015-05-08,0.7,100,M
62,"Bailey, Ramone",SR-4,TCU,10.38,Big 12 Outdoor Track & Field Championships,2015-05-15,3.5,100,M
62,"Powell, Leon",FR-1,UCLA,10.38,UCLA vs. USC,2015-05-03,0.4,100,M
62,"Farquarshon, Johnathan",JR-3,Abilene Christian,10.38,Southland Conference Championship,2015-05-08,1.4,100,M
62,"Lloyd, Antoine",FR-1,Nebraska,10.38,Big Ten Outdoor Track & Field Championships,2015-05-15,2.2,100,M
67,"Delaney, Arthur",SR-4,Oregon,10.39,Oregon Relays,2015-04-16,1.7,100,M
67,"Horsley, Carl",SR-4,Cal St. Northridge,10.39,2015 Big West Championships,2015-05-15,-0.8,100,M
67,"Strup, Chris",JR-3,Loyola (Ill.),10.39,2015 MVC Outdoor Track and Field Championships,2015-05-15,3.0,100,M
