,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
37,"Amann, Taylor",JR-3,Wisconsin,4.13m,"13' 6.5""",Wisconsin Alumni Classic,2017-05-05,PV,W
37,"Estes, Morgan",SR-4,Kent State,4.13m,"13' 6.5""",Mid-American Outdoor Track & Field Championships,2017-05-11,PV,W
37,"McIntyre, Morgan",JR-3,Western Kentucky,4.13m,"13' 6.5""",2017 WKU Hilltopper Relays,2017-04-07,PV,W
37,"Stefanidi, Georgia",JR-3,Georgia,4.13m,"13' 6.5""",Virginia Challenge,2017-04-21,PV,W
43,"Wagner, Greta",SO-2,UCLA,4.12m,"13' 6.25""",Pac-12 vs Big-10 Invitational,2017-03-24,PV,W
43,"Williamson, Bryn",JR-3,Cal St. Fullerton,4.12m,"13' 6.25""",2017 Big West Track & Field Championships,2017-05-12,PV,W
45,"Baiker, Dorina",JR-3,Memphis,4.11m,"13' 5.75""",Memphis Invitational 2017,2017-04-28,PV,W
45,"Gietzen, Lauren",JR-3,North Dakota State,4.11m,"13' 5.75""",The Summit League Outdoor Track & Field Championships,2017-05-11,PV,W
45,"Timmons, Reece",SR-4,Texas Tech,4.11m,"13' 5.75""",Texas Tech Masked Rider Open,2017-05-06,PV,W
45,"Mills, Madison",SR-4,South Dakota,4.11m,"13' 5.75""",The Summit League Outdoor Track & Field Championships,2017-05-11,PV,W
45,"Horrigan, Maria",FR-1,Kent State,4.11m,"13' 5.75""",2017 Jesse Owens University Classic,2017-04-21,PV,W
45,"Smith, Kayla",FR-1,Georgia,4.11m,"13' 5.75""",Torrin Lawrence Memorial,2017-05-06,PV,W
45,"Teska, Casey",SR-4,Montana State,4.11m,"13' 5.75""",Tom Gage Classic,2017-05-05,PV,W
52,"Shell, Mackenzie",SO-2,Oklahoma,4.10m,"13' 5.25""",Baldy Castillo Invitational,2017-03-17,PV,W
52,"Hjerpe, Erica",SR-4,Virginia Tech,4.10m,"13' 5.25""",Tennessee Relays,2017-04-06,PV,W
52,"Novikova, Ksenia",JR-3,Georgia Tech,4.10m,"13' 5.25""",Florida Relays,2017-03-30,PV,W
55,"Roberts, Madison",SR-4,Ohio State,4.08m,"13' 4.5""",Ashland Alumni Open,2017-04-28,PV,W
55,"Privitera, Olivia",JR-3,Virginia Tech,4.08m,"13' 4.5""",Hokie Twilight,2017-05-04,PV,W
55,"Callaway, Hannah",SR-4,Sam Houston St.,4.08m,"13' 4.5""",Texas Invitational,2017-04-14,PV,W
55,"Masterson, Lexi",JR-3,Penn State,4.08m,"13' 4.5""",Virginia Challenge,2017-04-21,PV,W
59,"Thomason, Augusta",JR-3,Texas A&M,4.07m,"13' 4.25""",SEC Relays,2017-04-28,PV,W
59,"Gunderson, Emily",JR-3,Texas A&M,4.07m,"13' 4.25""",SEC Relays,2017-04-28,PV,W
59,"Uhle, Ali",SO-2,Texas,4.07m,"13' 4.25""",Longhorn Invitational,2017-04-28,PV,W
59,"Mayr, Dakota",JR-3,Stephen F. Austin,4.07m,"13' 4.25""",Longhorn Invitational,2017-04-28,PV,W
59,"Centanaro, Gardenia",JR-3,Cal St. Northridge,4.07m,"13' 4.25""",2017 Rainbow Relays,2017-03-24,PV,W
59,"Warth, Kristiana",JR-3,Arizona State,4.07m,"13' 4.25""",Pac-12 vs Big-10 Invitational,2017-03-24,PV,W
59,"Minnig, Molly",JR-3,Penn,4.07m,"13' 4.25""",Ivy League Outdoor Track & Field Championships,2017-05-06,PV,W
59,"Willis, Andrea",FR-1,Kansas,4.07m,"13' 4.25""",KSU Ward Haylett Invite,2017-05-06,PV,W
59,"McAuley, Katy",SO-2,Ole Miss,4.07m,"13' 4.25""",SEC Relays,2017-04-28,PV,W
68,"Stevens, Sara Kathryn",JR-3,Texas A&M,4.06m,"13' 3.75""",Michael Johnson Invitational,2017-04-22,PV,W
