,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
56,"Beattie, Grace",JR-3,Illinois State,10:21.17,MVC Championship,2019-05-10,3000S,W
57,"Drouin, Emily",SR-4,UAB,10:21.67,Conference USA Outdoor Championships,2019-05-09,3000S,W
58,"Scheriff, Jessica",SR-4,Iona,10:21.99,Metro Atlantic Outdoor Track & Field Championships,2019-05-04,3000S,W
59,"Pesendorfer, Katharina",FR-1,Tulsa,10:22.27,The American Outdoor Track & Field Championships,2019-05-10,3000S,W
60,"King, Madeleine",SO-2,Ole Miss,10:22.37,Mt. SAC Relays,2019-04-18,3000S,W
61,"Greenlund, Lindsey",SO-2,Minnesota,10:22.44,Big Ten Championships,2019-05-10,3000S,W
62,"Harris, Alexandra",SO-2,New Mexico,10:22.58,Mountain West Outdoor Track & Field Championship,2019-05-08,3000S,W
63,"Chigatayeva, Aziza",FR-1,Binghamton,10:22.76,IC4A/ECAC Outdoor Track & Field Championships,2019-05-11,3000S,W
64,"Valentine, Samantha",SO-2,Brown,10:22.87,Ivy League Outdoor Track & Field Championships,2019-05-04,3000S,W
65,"Olivere, Lydia",FR-1,Villanova,10:22.93,BIG EAST Outdoor Track & Field Championships,2019-05-10,3000S,W
66,"McCulloch, Shona",SO-2,Washington,10:23.02,2019 Pac-12 Track & Field Championships,2019-05-04,3000S,W
67,"Medved, Sarah",SR-4,Portland State,10:23.36,Mt. SAC Relays,2019-04-18,3000S,W
68,"Brookover, Hannah",SO-2,Wake Forest,10:23.63,Raleigh Relays,2019-03-29,3000S,W
69,"Wright, Elise",FR-1,Wake Forest,10:23.91,ACC Championships,2019-05-09,3000S,W
70,"Dannheim, Suzanne",JR-3,George Washington,10:23.95,Bison Outdoor Classic,2019-04-13,3000S,W
71,"Mathison, Meg",JR-3,Georgetown,10:24.04,125th Penn Relays,2019-04-25,3000S,W
72,"Eastman, Annabelle",FR-1,George Mason,10:24.43,IC4A/ECAC Outdoor Track & Field Championships,2019-05-11,3000S,W
