,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
40,"Camacho, Savannah",SR-4,Oklahoma State,2:05.63,Stanford Invitational,2017-03-31,800,W
41,"Aragon, Christina",FR-1,Stanford,2:05.67,Pac-12 Championships,2017-05-13,800,W
41,"Staebler, Jasmine",SO-2,Iowa State,2:05.67,Stanford Cardinal Classic,2017-04-21,800,W
43,"Goins, Rianna",SR-4,UC Davis,2:05.72,Mt. SAC Relays,2017-04-13,800,W
44,"Phelan, Jaimie",JR-3,Michigan,2:05.78,Big Ten Outdoor Championships,2017-05-12,800,W
45,"Croft, Rebecca",SO-2,California,2:05.81,The Big Meet,2017-04-08,800,W
46,"Hiltz, Nikki",JR-3,Arkansas,2:05.83,SEC Outdoor Track & Field Championships,2017-05-11,800,W
47,"Schmelzle, Hope",SR-4,Northern Illinois,2:05.90,Wisconsin Alumni Classic,2017-05-05,800,W
48,"Bissah, Martha",FR-1,Norfolk State,2:06.05,Virginia Grand Prix,2017-04-29,800,W
49,"McClintock, Dillon",FR-1,Michigan State,2:06.10,Virginia Challenge,2017-04-21,800,W
50,"Watson, Ceara",SO-2,Arkansas,2:06.13,SEC Outdoor Track & Field Championships,2017-05-11,800,W
51,"Schuetz, Morgan",SR-4,LSU,2:06.16,LSU Battle on the Bayou,2017-04-08,800,W
52,"Carruth, Maggie",SO-2,Northern Arizona,2:06.23,Bryan Clay Invite,2017-04-13,800,W
53,"Choquette, Nicole",JR-3,Illinois,2:06.25,Big Ten Outdoor Championships,2017-05-12,800,W
54,"Price, Rhianwedd",JR-3,Miss State,2:06.26,SEC Outdoor Track & Field Championships,2017-05-11,800,W
55,"Calder, Brenna",JR-3,Indiana,2:06.31,Big Ten Outdoor Championships,2017-05-12,800,W
55,"Artis, Devon",JR-3,Georgia,2:06.31,Spec Towns Invitational,2017-04-07,800,W
57,"Marrero, Alethia",JR-3,Indiana State,2:06.33,Pacesetter Sports Invitational,2017-04-21,800,W
58,"Haiss, Therese",SR-4,Arkansas,2:06.46,Stanford Invitational,2017-03-31,800,W
59,"Kreutz, Macy",SO-2,Colorado St.,2:06.56@,Mountain West Outdoor Track & Field Championships,2017-05-10,800,W
60,"Larson, Kaytlyn",SO-2,Oklahoma State,2:06.60,Stanford Cardinal Classic,2017-04-21,800,W
61,"Aveni, Brittany",FR-1,Duke,2:06.61,Duke Invitational,2017-04-21,800,W
62,"MacLean, Heather",JR-3,UMass Amherst,2:06.65,UMass Pre-Conference Meet 2017,2017-04-29,800,W
63,"Nichols, Clara",SR-4,Oklahoma State,2:06.66,Bryan Clay Invite,2017-04-13,800,W
64,"Hardie, Sarah",JR-3,Columbia,2:06.68,Virginia Challenge,2017-04-21,800,W
65,"Moore, S. Brooke",SO-2,Indiana State,2:06.74,Tiger Track Classic,2017-04-07,800,W
66,"Harris, Kelsey",FR-1,Indiana,2:06.79,Big Ten Outdoor Championships,2017-05-12,800,W
67,"Schiel, Christie",SR-4,Montana State,2:06.87@,Montana Open,2017-04-27,800,W
68,"Adams, Whitney",SR-4,Kansas,2:06.90,2017 90th Clyde Littlefield Texas Relays,2017-03-29,800,W
69,"Price, Ffion",SR-4,Miss State,2:06.91,SEC Outdoor Track & Field Championships,2017-05-11,800,W
70,"Parker, Jessica",JR-3,Marquette,2:06.97,Wisconsin Alumni Classic,2017-05-05,800,W
71,"Hurta, Sage",FR-1,Colorado,2:07.10,Oregon State University High Performance,2017-04-28,800,W
71,"Hippensteel, Olivia",SR-4,Indiana,2:07.10,Big Ten Outdoor Championships,2017-05-12,800,W
73,"Nelson, Karisa",JR-3,Samford,2:07.14,Florida Relays,2017-03-30,800,W
74,"Gajewski, Danielle",SO-2,New Hampshire,2:07.21,West Point Twilight,2017-05-11,800,W
75,"Bustamante, Reagan",FR-1,Vanderbilt,2:07.26,SEC Outdoor Track & Field Championships,2017-05-11,800,W
75,"Stenman-Fahey, Erinn",SO-2,Iowa State,2:07.26,Stanford Cardinal Classic,2017-04-21,800,W
77,"Aragon, Danielle",SR-4,Notre Dame,2:07.27,Virginia Challenge,2017-04-21,800,W
78,"Walker, Sarah",FR-1,Stanford,2:07.30,Stanford Cardinal Classic,2017-04-21,800,W
78,"Hart, Kelly",SO-2,Notre Dame,2:07.30,Virginia Challenge,2017-04-21,800,W
80,"Parker, Hollie",SO-2,LSU,2:07.40,SEC Outdoor Track & Field Championships,2017-05-11,800,W
81,"Andrushko, Amy",SR-4,North Dakota State,2:07.42,Beach Invitational,2017-04-14,800,W
81,"Hetherington, Abbie",JR-3,Oklahoma State,2:07.42,Arkansas Spring Invitational,2017-03-24,800,W
83,"Berardo, Jackie",SO-2,Princeton,2:07.46,West Point Twilight,2017-05-11,800,W
84,"Thompson, Mae",JR-3,Fairleigh Dickinson,2:07.48,2017 Winthrop ADIDAS Invitational,2017-03-23,800,W
85,"Keenan, Emma",JR-3,Georgetown,2:07.51,Virginia Challenge,2017-04-21,800,W
85,"Boreman, Madison",FR-1,Colorado,2:07.51,Stanford Cardinal Classic,2017-04-21,800,W
87,"Chitwood, Mandy",SR-4,UNLV,2:07.53@,Mountain West Outdoor Track & Field Championships,2017-05-10,800,W
87,"Belo, Brianna",JR-3,American,2:07.53,2017 Colonial Relays,2017-03-30,800,W
89,"Wright, Rayanne",SR-4,Illinois State,2:07.54,Wisconsin Alumni Classic,2017-05-05,800,W
90,"Bull, Frances",FR-1,Penn State,2:07.57,Big Ten Outdoor Championships,2017-05-12,800,W
90,"Garner, Tionna",SR-4,Monmouth,2:07.57,2017 Larry Ellis Invitational,2017-04-21,800,W
92,"Jurew, Anna",SO-2,Princeton,2:07.65,West Point Twilight,2017-05-11,800,W
93,"Lewis, Ashley",FR-1,George Mason,2:07.67,Atlantic 10 Outdoor Track & Field Championships,2017-05-06,800,W
94,"Green, Claire",JR-3,Arizona,2:07.68,Duel In The Desert- ASU vs Arizona,2017-04-28,800,W
