,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,WIND,EVENT,GENDER
58,"Wells, Sasha",SO-2,Oral Roberts,13.44,Summit League T&F Outdoor Championships,2019-05-08,2.3,100H,M
58,"Hill, Sydney",SR-4,Louisville,13.44,ACC Championships,2019-05-09,1.4,100H,M
58,"Zamzow, Ashtin",SR-4,Texas,13.44,Big 12 Outdoor Track and Field Championships,2019-05-10,2.9,100H,M
58,"White, Kayla",SR-4,N. Carolina A&T,13.44,Aggie Invitational,2019-04-12,1.2,100H,M
65,"Marshall, Sidney",JR-3,Clemson,13.45,LSU Alumni Gold,2019-04-20,2.8,100H,M
65,"Marsh, Erin",SO-2,Duke,13.45,ACC Championships,2019-05-09,0.2,100H,M
65,"Mitchell, Safiyyah",JR-3,Marshall,13.45,2019 Adidas Winthrop University Invitational,2019-03-21,3.8,100H,M
68,"Bender, Hope",SR-4,UC Santa Barbara,13.46,Big West Outdoor Track & Field Championships,2019-05-10,-0.1,100H,M
68,"Robinson, Kaylah",SO-2,Oregon,13.46,Mt. SAC Relays,2019-04-18,1.3,100H,M
68,"Gardner, Sara",SR-4,Rider,13.46,125th Penn Relays,2019-04-25,2.6,100H,M
68,"Wood, Alahni",JR-3,Florida A&M,13.46,MEAC Outdoor Track & Field Championships,2019-05-02,1.4,100H,M
68,"Muhammad, Aysha",JR-3,Pittsburgh,13.46,ACC Championships,2019-05-09,1.4,100H,M
68,"Moore, Zharia",JR-3,UCF,13.46,UF Tom Jones Memorial,2019-04-26,2.3,100H,M
74,"Woodley, Alexis",JR-3,Virginia,13.47,Virginia Grand Prix,2019-04-26,1.7,100H,M
74,"Anderson, Demetria",SR-4,Illinois State,13.47,Pacesetter Sports Invitational,2019-04-19,3.3,100H,M
74,"Sharp, Jernaya",JR-3,Notre Dame,13.47,Louisville Invitational,2019-04-12,1.2,100H,M
77,"Brooks, Alexia",SR-4,DePaul,13.48,Florida Relays,2019-03-28,0.4,100H,M
78,"Pessima, Eddita",FR-1,Pittsburgh,13.49,125th Penn Relays,2019-04-25,2.6,100H,M
78,"Dyer, Danae",FR-1,San Diego St.,13.49,Beach Invitational,2019-04-19,1.7,100H,M
78,"Walker, Ivy",JR-3,Texas Tech,13.49@,Corky/Crofoot Shootout,2019-04-26,2.1,100H,M
81,"Sutton, April",JR-3,Arizona,13.50,Jim Click Shootout,2019-04-06,0.1,100H,M
82,"Parks, Milan",SR-4,South Carolina,13.51,Gamecock Invitational Outdoor,2019-04-13,1.3,100H,M
82,"Bonds, Talie",SO-2,Utah State,13.51@,2019 BYU Robison Invitational,2019-04-25,1.7,100H,M
84,"Nwofor, Emma",JR-3,Arkansas State,13.53,Memphis Tiger invitational,2019-04-26,4.0,100H,M
84,"Rothwell, Cha'Mia",JR-3,Dartmouth,13.53,Ivy League Outdoor Track & Field Championships,2019-05-04,1.3,100H,M
86,"Morrison, Quamecha",SR-4,Bethune-Cookman,13.54,MEAC Outdoor Track & Field Championships,2019-05-02,1.4,100H,M
87,"Okorie, Ariel",JR-3,Kansas State,13.55,Jim Click Shootout,2019-04-06,1.8,100H,M
87,"Caicedo, Maribel",FR-1,UTEP,13.55,2019 Desert Heat Classic,2019-04-27,1.3,100H,M
87,"Parris, Jeminise",JR-3,Arizona State,13.55,2019 Pac-12 Track & Field Championships,2019-05-04,0.2,100H,M
87,"Loyd, Kyah",SO-2,Tulane,13.55,LSU Alumni Gold,2019-04-20,2.8,100H,M
91,"Wise, Deshae",SO-2,California,13.56,2019 Pac-12 Track & Field Championships,2019-05-04,0.2,100H,M
91,"Mitchell, Timetria",JR-3,Florida,13.56,SEC Outdoor Track & Field Championships,2019-05-09,0.2,100H,M
93,"Little , Caitlyn",SO-2,South Carolina,13.58,SEC Outdoor Track & Field Championships,2019-05-09,0.2,100H,M
94,"Foster, Rhesa",JR-3,Oregon,13.59,2019 Desert Heat Classic,2019-04-27,3.3,100H,M
94,"Njoku, Chinyere",SR-4,Texas A&M,13.59,SEC Outdoor Track & Field Championships,2019-05-09,0.2,100H,M
94,"Rusnak, Hannah",SO-2,Washington,13.59,2019 Pac-12 Track & Field Championships,2019-05-04,0.5,100H,M
97,"Amarteifio, Remy",JR-3,Northern Illinois,13.60,Mid-American Conference Outdoor Track & Field Championships,2019-05-09,1.2,100H,M
97,"Trought, Brittney",SR-4,TCU,13.60,Michael Johnson Invitational,2019-04-19,2.1,100H,M
97,"Goff, Allyson",SR-4,Eastern Michigan,13.60,Mid-American Conference Outdoor Track & Field Championships,2019-05-09,1.2,100H,M
100,"Carothers, Imani",FR-1,Georgia,13.62,Mt. SAC Relays,2019-04-18,1.2,100H,M
1,"Burton, Rushelle",FR-1,Texas,12.65,Texas Invitational,2017-04-14,2.3,100H,M
2,"Amusan, Tobi",SO-2,UTEP,12.67@,UTEP Springtime 2017,2017-03-25,1.3,100H,M
2,"Charlton, Devynne",JR-3,Purdue,12.67,Big Ten Outdoor Championships,2017-05-12,3.6,100H,M
4,"Camacho-Quinn, Jasmine",SO-2,Kentucky,12.69,Florida Relays,2017-03-30,2.0,100H,M
4,"Johnson, Alaysha",SO-2,Oregon,12.69,Florida Relays,2017-03-30,2.0,100H,M
6,"Brisco, Mikiah",JR-3,LSU,12.85,2017 90th Clyde Littlefield Texas Relays,2017-03-29,-0.3,100H,M
7,"Jones, Ariel",JR-3,Texas,12.87,Big 12 Outdoor Track & Field Championships,2017-05-12,3.5,100H,M
8,"Williams, Kendell",SR-4,Georgia,12.90,SEC Outdoor Track & Field Championships,2017-05-11,0.2,100H,M
9,"Cockrell, Anna",FR-1,USC,12.91,USC vs. UCLA,2017-04-29,1.1,100H,M
10,"Wallace, Sasha",SR-4,Oregon,12.94,Florida Relays,2017-03-30,2.0,100H,M
11,"Morrison, Ebony",SR-4,Miami,12.96,UF Tom Jones Memorial,2017-04-28,2.8,100H,M
11,"Williams, Peta-Gay",SO-2,Florida State,12.96,ACC Outdoor Track & Field Championships,2017-05-12,0.4,100H,M
13,"Golding, Kimberly",SR-4,Minnesota,12.98,Big Ten Outdoor Championships,2017-05-12,3.6,100H,M
14,"Auzenne, Micha",SR-4,San Diego St.,12.99@,Mountain West Outdoor Track & Field Championships,2017-05-10,2.9,100H,M
14,"Williams, Jeanine",SO-2,Georgia Tech,12.99,ACC Outdoor Track & Field Championships,2017-05-12,0.4,100H,M
14,"Haggerty, Olivia",SR-4,Oklahoma,12.99,Big 12 Outdoor Track & Field Championships,2017-05-12,3.5,100H,M
17,"Stumbaugh, Payton",JR-3,Arkansas,13.00,SEC Outdoor Track & Field Championships,2017-05-11,1.7,100H,M
18,"Spagnola, Emma",JR-3,Minnesota,13.02,Big Ten Outdoor Championships,2017-05-12,3.6,100H,M
19,"Hall, Dior",SO-2,USC,13.03,USC vs. UCLA,2017-04-29,1.1,100H,M
20,"Trought, Brittney",SO-2,TCU,13.05,Big 12 Outdoor Track & Field Championships,2017-05-12,3.5,100H,M
21,"Seymour, Pedrya",JR-3,Illinois,13.06,EIU Big Blue Classic 2017,2017-03-31,1.8,100H,M
21,"Jones, Cortney",FR-1,Florida State,13.06,FSU Relays,2017-03-24,0.9,100H,M
23,"Miller, Ashley",SO-2,Texas,13.08,Big 12 Outdoor Track & Field Championships,2017-05-12,3.5,100H,M
24,"Ray, Chantel",JR-3,Ohio State,13.09,Big Ten Outdoor Championships,2017-05-12,3.6,100H,M
25,"Hughes, Amber",SR-4,Tennessee St.,13.12,OVC Outdoor Track & Field Championship,2017-05-11,2.9,100H,M
26,"Robinson, Courtney",JR-3,Cal St. Northridge,13.13,Texas Invitational,2017-04-14,2.3,100H,M
27,"Stewart, Jayla",SO-2,Illinois,13.14,2017 Drake Relays presented by Hy-Vee,2017-04-26,2.3,100H,M
27,"Brooks, Taliyah",JR-3,Arkansas,13.14,SEC Outdoor Track & Field Championships,2017-05-11,1.7,100H,M
29,"Pegram, Taylor",JR-3,UNLV,13.15@,Mountain West Outdoor Track & Field Championships,2017-05-10,2.1,100H,M
