,ATHLETE,YEAR,TEAM,POINTS,MEET,MEET DATE,EVENT,GENDER
56,"Dunchack, Janae",SR-4,Dartmouth,5228,Ivy League Outdoor Track & Field Championships,2014-05-10,Hep,M
57,"Wiley, Cassie",SR-4,Houston,5216,The American Outdoor Track & Field Championships,2014-05-02,Hep,M
58,"Farrington, Melissa-Maree",FR-1,Nebraska,5215,Mt. SAC Relays/CA Invitational Multi Events,2014-04-16,Hep,M
59,"Morrison, Kaleigh",SR-4,Hawaii,5210,2014 Big West Combined,2014-05-09,Hep,M
60,"Yetter, Gavyn",SO-2,Wichita State,5198,Shirley Crowe Combined Events Classic,2014-03-19,Hep,M
61,"Godwin, Emily",FR-1,North Carolina,5190,ACC Outdoor Track & Field Championships,2014-04-17,Hep,M
62,"Steffen, Kelly",SR-4,Indiana State,5168,2014 MVC Outdoor Track & Field Championships,2014-05-16,Hep,M
63,"Powell, Jaci",SR-4,California,5160,PAC-12 Outdoor Track and Field Championships,2014-05-10,Hep,M
64,"Hansen, Madison",SO-2,Harvard,5152,LSU Alumni Gold,2014-04-19,Hep,M
65,"Valenzuela, Tina",SR-4,Texas State,5142,Sun Belt Conference Outdoor Track and Field Championships,2014-05-09,Hep,M
66,"Pfeiffer, Jenna",SO-2,Baylor,5131,Big 12 Outdoor Track and Field Championships,2014-05-16,Hep,M
67,"Pickett, Kathryn",JR-3,Western Michigan,5109,Mid-American Outdoor Track & Field Championships,2014-05-15,Hep,M
68,"Woods, Shambrail",SR-4,Stephen F. Austin,5100,UIW Cardinal Invitational,2014-04-11,Hep,M
69,"Shadley, Jessica",SR-4,Baylor,5094,Big 12 Outdoor Track and Field Championships,2014-05-16,Hep,M
70,"McKenna, Elizabeth",SR-4,Princeton,5083,Ivy League Outdoor Track & Field Championships,2014-05-10,Hep,M
71,"Moreau, Kaitlyn",JR-3,UL-Lafayette,5079,Sun Belt Conference Outdoor Track and Field Championships,2014-05-09,Hep,M
72,"Woelber, Bree",SO-2,Iowa State,5058,Big 12 Outdoor Track and Field Championships,2014-05-16,Hep,M
73,"Beckman, Alex",SO-2,Minnesota,5057,Big Ten Outdoor Track & Field Championships,2014-05-16,Hep,M
74,"Day, Claudette",FR-1,Northern Illinois,5050,Mid-American Outdoor Track & Field Championships,2014-05-15,Hep,M
75,"Littleton, Danielle",JR-3,UC Riverside,5045,2014 Big West Combined,2014-05-09,Hep,M
76,"Johnsson, Sofia",FR-1,New Orleans,5041,LSU Alumni Gold,2014-04-19,Hep,M
