,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,WIND,EVENT,GENDER
56,"Walton, Cameron",SR-4,UNC-Wilmington,7.50m,"24' 7.25""",2015 Penn Relays,2015-04-23,3.1,LJ,M
56,"Filip, Scott",SO-2,Rice,7.50m,"24' 7.25""",Conference USA Outdoor Track & Field Championships,2015-05-14,-2.2,LJ,M
56,"Coleman, Jamir",FR-1,Akron,7.50m,"24' 7.25""",Longhorn Invitational,2015-05-02,2.4,LJ,M
59,"Madzivire, Paul",SR-4,Florida State,7.49m,"24' 7""",ACC Outdoor Track & Field Championships,2015-05-14,0.0,LJ,M
59,"Boyd, Terence",SR-4,Kentucky,7.49m,"24' 7""",SEC Championships,2015-05-14,-2.6,LJ,M
61,"Carter, Blake",SR-4,SE Missouri,7.48m,"24' 6.5""",Memphis Invitational,2015-05-02,0.0,LJ,M
62,"Wilson, Jerome",SR-4,Texas Tech,7.47m,"24' 6.25""",2015 Clyde Littlefield Texas Relays,2015-03-25,3.2,LJ,M
62,"Williams, Kendall",SO-2,Eastern Illinois,7.47m,"24' 6.25""",Ohio Valley Conference Championships,2015-05-15,2.6,LJ,M
62,"Riesselman, Weston",JR-3,Northern Iowa,7.47m,"24' 6.25""",2015 MVC Outdoor Track and Field Championships,2015-05-15,3.4,LJ,M
65,"George, Aaron",SO-2,Texas State,7.46m,"24' 5.75""",Baylor Invitational,2015-04-03,3.6,LJ,M
65,"Flannigan, Marcus",SO-2,Grand Canyon,7.46m,"24' 5.75""",2015 WAC Outdoor Track & Field Championships,2015-05-13,1.1,LJ,M
67,"Pankins, Nikita",SO-2,Nebraska,7.45m,"24' 5.5""",Musco Invitational,2015-05-02,1.2,LJ,M
67,"Kearney, Blue",SR-4,Air Force,7.45m,"24' 5.5""",Mountain West Outdoor Track & Field Championships,2015-05-13,2.0,LJ,M
69,"Roggatz, Yannick",JR-3,New Mexico,7.44m,"24' 5""",New Mexico Track & Field Quadrangular,2015-04-10,0.0,LJ,M
69,"Abdullah, Bilal",JR-3,Kennesaw State,7.44m,"24' 5""",Atlantic Sun Outdoor Track & Field Championships,2015-05-15,0.7,LJ,M
69,"James, Jamol",JR-3,Arizona State,7.44m,"24' 5""",Baldy Castillo Invitational,2015-03-20,-0.2,LJ,M
69,"Sears, Ventavius",SO-2,Western Kentucky,7.44m,"24' 5""",Conference USA Outdoor Track & Field Championships,2015-05-14,1.6,LJ,M
69,"Uibo, Maicel",JR-3,Georgia,7.44m,"24' 5""",SEC Championships,2015-05-14,2.1,LJ,M
69,"Glenn, Kenny",FR-1,Miami (Ohio),7.44m,"24' 5""",Ohio Open,2015-05-08,0.6,LJ,M
75,"Adams, Franklin",SO-2,Southern Illinois,7.43m,"24' 4.5""",2015 MVC Outdoor Track and Field Championships,2015-05-15,2.2,LJ,M
